ID,Campaign_ID,New_User_Revenue,Returning_User_Revenue
1,CAMP001,9205,62389
2,CAMP002,21917,52878
3,CAMP003,57646,73488
4,CAMP004,79808,34267
5,CAMP005,59122,19355
6,CAMP006,21601,49237
7,CAMP007,67859,33373
8,CAMP008,29261,14945
9,CAMP009,63853,31124
10,CAMP010,2268,55210
11,CAMP011,22263,35700
12,CAMP012,59382,50263
13,CAMP013,11709,24846
14,CAMP014,25576,32771
15,CAMP015,22795,23525
16,CAMP016,23113,64862
17,CAMP017,20854,54660
18,CAMP018,51950,62824
19,CAMP019,58944,26170
20,CAMP020,45534,27884
21,CAMP021,22507,46064
22,CAMP022,67884,45365
23,CAMP023,34893,68309
24,CAMP024,57159,35896
25,CAMP025,52099,18770
26,CAMP026,5722,73464
27,CAMP027,27601,30191
28,CAMP028,42385,19267
29,CAMP029,41831,54899
30,CAMP030,28025,54025
31,CAMP031,83282,69997
32,CAMP032,24208,42586
33,CAMP033,8661,63742
34,CAMP034,92082,13060
35,CAMP035,7950,68086
36,CAMP036,49682,50353
37,CAMP037,47363,55970
38,CAMP038,87671,54882
39,CAMP039,81626,14731
40,CAMP040,64394,69809
41,CAMP041,50898,55331
42,CAMP042,98895,60751
43,CAMP043,39956,50676
44,CAMP044,91452,663
45,CAMP045,1564,71346
46,CAMP046,66227,6499
47,CAMP047,70713,36264
48,CAMP048,91757,16862
49,CAMP049,67247,43146
50,CAMP050,1106,36981
51,CAMP051,34522,759
52,CAMP052,35395,5736
53,CAMP053,30856,58008
54,CAMP054,74195,56222
55,CAMP055,34705,46600
56,CAMP056,12474,71389
57,CAMP057,38277,46297
58,CAMP058,33653,52983
59,CAMP059,37850,28999
60,CAMP060,72020,63115
61,CAMP061,93809,17554
62,CAMP062,21534,14715
63,CAMP063,61296,49566
64,CAMP064,57345,40952
65,CAMP065,93321,37568
66,CAMP066,75257,16483
67,CAMP067,46553,65776
68,CAMP068,61944,50079
69,CAMP069,47641,28841
70,CAMP070,4134,37602
71,CAMP071,79663,61566
72,CAMP072,90040,36071
73,CAMP073,43070,25119
74,CAMP074,77283,59642
75,CAMP075,84209,33979
76,CAMP076,71284,48116
77,CAMP077,96613,25639
78,CAMP078,67933,64852
79,CAMP079,93566,65035
80,CAMP080,32928,63675
81,CAMP081,28181,46356
82,CAMP082,68361,16886
83,CAMP083,18086,24730
84,CAMP084,24044,69376
85,CAMP085,85805,67636
86,CAMP086,5733,35278
87,CAMP087,38964,4727
88,CAMP088,99985,42714
89,CAMP089,44404,60346
90,CAMP090,58088,56200
91,CAMP091,68305,38190
92,CAMP092,57673,69800
93,CAMP093,33371,69678
94,CAMP094,62249,22598
95,CAMP095,13486,11053
96,CAMP096,64610,49311
97,CAMP097,89475,73694
98,CAMP098,57614,28369
99,CAMP099,85075,46659
100,CAMP100,65596,40525
101,CAMP101,79546,17377
102,CAMP102,71259,11753
103,CAMP103,58322,5900
104,CAMP104,71086,37720
105,CAMP105,3982,1389
106,CAMP106,66186,60724
107,CAMP107,30386,30641
108,CAMP108,94951,10240
109,CAMP109,11024,13498
110,CAMP110,33808,54676
111,CAMP111,99203,3687
112,CAMP112,87110,67749
113,CAMP113,95203,60289
114,CAMP114,57484,575
115,CAMP115,27722,19973
116,CAMP116,46627,28619
117,CAMP117,60993,72483
118,CAMP118,8295,830
119,CAMP119,30626,7272
120,CAMP120,2311,20201
121,CAMP121,69400,17754
122,CAMP122,73683,38865
123,CAMP123,60518,69563
124,CAMP124,62760,17844
125,CAMP125,33293,14644
126,CAMP126,54751,36279
127,CAMP127,19087,27898
128,CAMP128,22516,3568
129,CAMP129,77628,69499
130,CAMP130,81204,8129
131,CAMP131,5466,33350
132,CAMP132,33731,26629
133,CAMP133,22423,4343
134,CAMP134,34292,44658
135,CAMP135,56279,54048
136,CAMP136,50809,56101
137,CAMP137,23951,15998
138,CAMP138,9095,59039
139,CAMP139,76375,21699
140,CAMP140,6789,36442
141,CAMP141,40351,70706
142,CAMP142,36265,40919
143,CAMP143,15848,56134
144,CAMP144,9983,61681
145,CAMP145,6005,18281
146,CAMP146,33904,34192
147,CAMP147,81340,21935
148,CAMP148,80925,6869
149,CAMP149,3258,22093
150,CAMP150,45813,66494
151,CAMP151,15728,73609
152,CAMP152,25987,51101
153,CAMP153,77965,28839
154,CAMP154,99723,28470
155,CAMP155,98832,18555
156,CAMP156,40262,9004
157,CAMP157,1972,47641
158,CAMP158,98721,38818
159,CAMP159,85269,22215
160,CAMP160,4920,69498
161,CAMP161,94498,51068
162,CAMP162,85734,40432
163,CAMP163,1746,56521
164,CAMP164,67504,49007
165,CAMP165,98270,21219
166,CAMP166,85432,54711
167,CAMP167,94429,17628
168,CAMP168,44901,17309
169,CAMP169,80378,3635
170,CAMP170,6066,38445
171,CAMP171,68471,8280
172,CAMP172,72549,39963
173,CAMP173,71488,38069
174,CAMP174,31692,42919
175,CAMP175,56023,50588
176,CAMP176,53032,64061
177,CAMP177,74091,35835
178,CAMP178,53116,9047
179,CAMP179,45207,60835
180,CAMP180,62793,25785
181,CAMP181,36864,23918
182,CAMP182,61114,70911
183,CAMP183,31504,37879
184,CAMP184,15473,19206
185,CAMP185,80176,39319
186,CAMP186,39895,15197
187,CAMP187,50449,16005
188,CAMP188,31483,26211
189,CAMP189,24254,55951
190,CAMP190,43307,56419
191,CAMP191,72630,13501
192,CAMP192,45159,19335
193,CAMP193,15039,24635
194,CAMP194,87251,29017
195,CAMP195,6144,28575
196,CAMP196,86588,3222
197,CAMP197,88715,31294
198,CAMP198,79626,4971
199,CAMP199,34628,44345
200,CAMP200,39949,15312
201,CAMP201,30522,51099
202,CAMP202,83999,20179
203,CAMP203,6994,29076
204,CAMP204,11787,9395
205,CAMP205,17359,40737
206,CAMP206,50507,35499
207,CAMP207,57385,34137
208,CAMP208,47740,4041
209,CAMP209,6349,71567
210,CAMP210,14102,5473
211,CAMP211,33859,63600
212,CAMP212,60454,54364
213,CAMP213,9689,8431
214,CAMP214,11830,49951
215,CAMP215,81030,37247
216,CAMP216,16707,65959
217,CAMP217,78875,26570
218,CAMP218,89580,27742
219,CAMP219,47788,25208
220,CAMP220,33553,17200
221,CAMP221,11732,39840
222,CAMP222,40323,11730
223,CAMP223,49781,50745
224,CAMP224,40168,35395
225,CAMP225,11058,27820
226,CAMP226,3781,47133
227,CAMP227,1846,73820
228,CAMP228,67688,52068
229,CAMP229,20712,46010
230,CAMP230,7240,8487
231,CAMP231,17139,11939
232,CAMP232,23557,8316
233,CAMP233,87713,40567
234,CAMP234,10502,6751
235,CAMP235,28410,31018
236,CAMP236,38482,22314
237,CAMP237,25592,21261
238,CAMP238,27487,16955
239,CAMP239,45369,55121
240,CAMP240,47283,9458
241,CAMP241,76785,53689
242,CAMP242,84849,10266
243,CAMP243,89794,2487
244,CAMP244,26676,67323
245,CAMP245,71887,50022
246,CAMP246,27524,33183
247,CAMP247,19166,5515
248,CAMP248,44853,3788
249,CAMP249,44962,20966
250,CAMP250,44641,62737
251,CAMP251,94595,49541
252,CAMP252,11091,7573
253,CAMP253,29825,11458
254,CAMP254,72636,73924
255,CAMP255,23639,70371
256,CAMP256,88628,47593
257,CAMP257,18944,32606
258,CAMP258,21229,60647
259,CAMP259,14346,54915
260,CAMP260,82996,836
261,CAMP261,4627,45756
262,CAMP262,42935,47281
263,CAMP263,10019,15658
264,CAMP264,8665,34719
265,CAMP265,7508,5005
266,CAMP266,18932,33396
267,CAMP267,77656,72303
268,CAMP268,58989,64293
269,CAMP269,2660,66422
270,CAMP270,32391,18106
271,CAMP271,64330,52599
272,CAMP272,31227,15481
273,CAMP273,7741,66692
274,CAMP274,3863,48065
275,CAMP275,3042,24444
276,CAMP276,53998,74255
277,CAMP277,33836,5498
278,CAMP278,22705,61674
279,CAMP279,66048,19576
280,CAMP280,25480,24028
281,CAMP281,21955,74627
282,CAMP282,35064,49012
283,CAMP283,2762,37882
284,CAMP284,90238,12519
285,CAMP285,71781,62545
286,CAMP286,18436,52526
287,CAMP287,79108,63843
288,CAMP288,36441,67981
289,CAMP289,8013,2112
290,CAMP290,11841,64052
291,CAMP291,84077,70182
292,CAMP292,88459,1936
293,CAMP293,59059,61668
294,CAMP294,52789,19323
295,CAMP295,89035,12558
296,CAMP296,61088,65692
297,CAMP297,90567,21474
298,CAMP298,55750,35145
299,CAMP299,57581,54312
300,CAMP300,60421,36376
